效果名effect_name,效果文字描述effect_text,自用描述,效果类型effecttype,效果effect,效果内容effect_detail,时点timing,条件codition,对象target,持续时间effectDuration,卡牌流派card_style,额外信息extra_info
TEST_DRAW-a_1,当这张卡攻击时，你可以选择是否抽取一张手卡,当攻击发动时，如果攻击者是自身，可以选择是否发动这张卡的效果抽取一张卡,Response,draw_card,draw_card=1,when_attack,"self.state==InField,attacker=self",,,,
,,,,,,,,,,,
TEST_DISDRAW-a_1,回合开始时，如果这张牌在手牌，你可以丢弃这张牌，抽一张牌,回合开始时，如果这张牌在手牌，你可以丢弃这张牌,Response,discard_card,discard_card=1,when_turn_start,,,,,
TEST_DISDRAW-a_2,,抽一张牌,,draw_card,draw_card=1,,,,,,
,,,,,,,,,,,
TEST_MULTIEFFECT-a_1,回合开始时，如果这张牌在牌库，你可以选择丢弃一张手牌，抽取这张牌,回合开始时，这张牌在牌库时，你可以选择丢弃一张手卡,Response,discard_card,discard_card=1,,self.state==InDeck,target=select_target,,,
TEST_MULTIEFFECT-a_2,,抽取一张卡,,draw_card,draw_card=1,,,target=self,,,
TEST_MULTIEFFECT-b_1,这种牌在手牌中时，你可以丢弃一张除这张卡以外的手牌，特殊召唤一个攻击力为2的怪兽,这种牌在手牌中时，你可以丢弃一张除这张卡以外的手牌，,Active,discard_card,,,,,,,
TEST_MULTIEFFECT-b_2,,特殊召唤一个攻击力为2的怪兽,,summon,,,,,,,
,,,,,,,,,,,
TEST_DAMAGE-a_1,回合开始时，如果你的伤害区有这张卡，你可以对对方造成一点伤害，然后从伤害区移除这张卡,回合开始时，如果你的伤害区有这张卡，你可以对对方造成一点伤害,Response,damage,damage=1,,,,,,
,,从伤害区移除这张卡,,move,move_to=InCemetery,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TEST_NEGATE-a_1, 当对方宣言效果的时候，你可以发动这张卡的效果，丢弃这张卡，使对方宣言的效果无法发动, 当对方宣言效果的时候，你可以发动这张卡的效果，丢弃这张卡,Response,discard_card,,,,,,,
,,使对方宣言的效果无法发动,,negate,,,,,,,
,,,,,,,,,,,
TEST_CONTINUOUS,这张卡在伤害区时，你的所有卡攻击力提升1,,Continuous,add_attack,add_attack=1,,,,,,
,,,,,,,,,,,
TEST_TRIGGER,这张卡被破坏时不是变为灵魂而是送入对手的伤害区,"这张卡被破坏时,送入伤害区,所有权改变为对手",Trigger,,,,,,,,
